v,cost
10,21.455238095238094
11,15.865719819238219
12,14.803447317208786
13,14.908098271155596
14,15.47119924457035
15,16.24742012457777
16,17.130433445577133
17,18.068789106476835
18,19.036236121462288
19,20.019053473822474
20,21.009998311192785
